# ACTS Test Suite Generation: Thu Aug 14 01:35:23 JST 2025
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 10
# Maximum number of values per parameter: 2
# Number of configurations: 26
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,0,0,0,0,1,1,1,1,1
0,0,1,1,1,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1
0,1,1,0,1,1,1,0,0,0
1,0,0,1,1,1,0,1,0,0
1,0,1,0,0,0,1,0,1,1
1,1,0,0,1,0,0,0,1,1
1,1,1,1,0,1,0,0,0,0
1,1,0,0,0,1,1,1,0,0
0,0,1,1,0,1,1,1,0,0
0,0,0,0,1,0,1,1,1,1
1,1,1,1,1,0,0,0,0,0
0,0,1,0,0,1,0,1,1,1
1,1,0,1,1,0,1,0,0,0
0,0,0,1,0,1,1,0,1,1
1,1,1,0,1,0,0,1,0,0
1,0,1,1,0,0,1,0,0,1
0,1,0,0,1,1,1,0,1,0
0,0,1,0,1,1,0,1,0,1
1,1,1,0,0,0,0,1,1,0
0,1,0,1,1,0,1,1,0,0
1,0,0,1,0,1,0,0,1,1
0,0,1,1,1,0,1,0,1,0
1,1,0,0,0,1,1,0,0,1
0,0,1,0,1,1,0,1,1,0
1,1,1,0,0,0,0,1,0,1
